t_ns,cycles,period_ms.min,period_ms.mean,period_ms.max,period_ms.p95,period_ms.p99,rpc_ms.mean,rpc_ms.max,total_ms.mean,total_ms.max,late,late_run_max,qf_events,qf_retries,qf_blocked_ms,rc.ok,rc.busy,rc.bad,rc.inval,rc.ign,rc.other,exc
1784876261286749934,250,3.24,8,18.58,8.44,8.63,2.28,4.01,4.65,7.44,1,1,0,0,0,250,0,0,0,0,0,0
1784876263287715178,250,7.03,8,8.75,8.43,8.62,2.34,4.53,4.71,7.87,0,0,0,0,0,250,0,0,0,0,0,0
1784876265287328344,250,7.24,8,8.83,8.46,8.67,2.46,5.37,4.92,8.16,0,0,0,0,0,250,0,0,0,0,0,0
1784876267286669690,250,6.97,8,9.02,8.45,8.7,2.49,5.44,4.95,8.6,0,0,0,0,0,250,0,0,0,0,0,0
1784876269287965065,250,7.18,8,8.79,8.44,8.65,2.38,4.2,4.81,7.93,0,0,0,0,0,250,0,0,0,0,0,0
1784876271287507642,250,6.96,8,9.03,8.43,8.86,2.4,4.09,4.87,7.94,0,0,0,0,0,250,0,0,0,0,0,0
1784876273287153080,250,7.06,8,8.91,8.44,8.61,2.4,4.85,4.8,8.1,0,0,0,0,0,250,0,0,0,0,0,0
1784876275288374778,250,7.36,8,8.66,8.44,8.62,2.48,4.4,4.96,8.23,0,0,0,0,0,250,0,0,0,0,0,0
1784876277286202339,250,6.71,8,9.36,8.46,8.94,2.41,5.17,4.91,8.43,0,0,0,0,0,250,0,0,0,0,0,0
1784876279286425633,250,7.15,8,8.82,8.42,8.67,2.37,4.18,4.71,7.79,0,0,0,0,0,250,0,0,0,0,0,0
1784876281286070335,250,7.03,8,8.94,8.41,8.88,2.37,4.07,4.76,7.37,0,0,0,0,0,250,0,0,0,0,0,0
1784876283285663252,250,7.17,8,8.81,8.43,8.68,2.39,4.64,4.77,8.46,0,0,0,0,0,250,0,0,0,0,0,0
1784876285286827851,250,7.16,8,8.82,8.43,8.54,2.51,4.53,5.02,7.56,0,0,0,0,0,250,0,0,0,0,0,0
1784876287285806641,250,7.15,8,8.65,8.43,8.53,2.35,4.41,4.69,8.33,0,0,0,0,0,250,0,0,0,0,0,0
1784876289287462169,250,6.66,8,9.26,8.47,8.79,2.49,5.16,4.93,8.32,0,0,0,0,0,250,0,0,0,0,0,0
1784876291285228596,250,7.07,8,8.89,8.37,8.79,2.23,4.32,4.47,7.96,0,0,0,0,0,250,0,0,0,0,0,0
1784876293285565874,250,7.25,8,8.73,8.42,8.62,2.27,4.42,4.57,8.42,0,0,0,0,0,250,0,0,0,0,0,0
1784876295285651145,250,7.4,8,8.61,8.24,8.45,2.11,3.66,4.33,6.65,0,0,0,0,0,250,0,0,0,0,0,0
1784876297285771795,250,7.06,8,8.93,8.24,8.61,2.14,3.83,4.37,6.71,0,0,0,0,0,250,0,0,0,0,0,0
1784876299286176551,250,7.28,8,8.67,8.19,8.42,2.18,4.28,4.31,6.72,0,0,0,0,0,250,0,0,0,0,0,0
1784876301285395220,250,7.16,8,8.65,8.25,8.59,2.16,4.18,4.39,7.17,0,0,0,0,0,250,0,0,0,0,0,0
1784876303285431629,250,7.55,8,8.45,8.05,8.24,2.05,3.4,4.21,6.1,0,0,0,0,0,250,0,0,0,0,0,0
1784876305286141710,250,7.45,8,8.58,8.05,8.4,2.09,3.2,4.25,6.35,0,0,0,0,0,250,0,0,0,0,0,0
1784876307286971642,250,7.22,8,8.75,8.07,8.28,2.11,3.65,4.32,6.81,0,0,0,0,0,250,0,0,0,0,0,0
1784876309285342165,250,7.06,8,8.95,8.12,8.74,2.16,3.65,4.39,6.82,0,0,0,0,0,250,0,0,0,0,0,0
1784876311285759845,250,7.59,8,8.4,8.08,8.23,2.11,3.75,4.28,7.16,0,0,0,0,0,250,0,0,0,0,0,0
1784876313285781797,250,7.04,8,8.97,8.1,8.6,2.11,5.09,4.35,7.15,0,0,0,0,0,250,0,0,0,0,0,0
1784876315287185313,250,7.53,8,8.46,8.05,8.23,2.08,3.35,4.28,5.94,0,0,0,0,0,250,0,0,0,0,0,0
1784876317286062116,250,7.27,8,8.71,8.12,8.42,2.14,3.59,4.37,6.5,0,0,0,0,0,250,0,0,0,0,0,0
1784876319285507688,250,7.22,8,8.79,8.07,8.28,2.1,3.13,4.24,5.83,0,0,0,0,0,250,0,0,0,0,0,0
1784876321285710654,250,7.36,8,8.64,8.05,8.27,2.06,3.05,4.24,6.49,0,0,0,0,0,250,0,0,0,0,0,0
1784876323285516281,250,7.18,8,8.82,8.04,8.3,2.05,3.46,4.22,6.23,0,0,0,0,0,250,0,0,0,0,0,0
1784876325286255449,250,7.22,8,8.89,8.08,8.26,2.12,3.32,4.31,6.48,0,0,0,0,0,250,0,0,0,0,0,0
1784876327285598318,250,7.72,8,8.39,8.04,8.2,2.05,3.48,4.19,5.98,0,0,0,0,0,250,0,0,0,0,0,0
