t_ns,command_index,command_type,label,ref_canvas_x_mm,ref_canvas_y_mm,ref_canvas_z_mm,act_canvas_x_mm,act_canvas_y_mm,act_canvas_z_mm,normal_err_mm,tangential_err_mm
1784876588161274426,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8140,221.0579,-331.2874,-0.0024,0.0163
1784876588177493556,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8140,221.0579,-331.2874,-0.0024,0.0163
1784876588193313186,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8140,221.0579,-331.2874,-0.0024,0.0163
1784876588209441287,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8140,221.0579,-331.2874,-0.0024,0.0163
1784876588225360164,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8140,221.0579,-331.2874,-0.0024,0.0163
1784876588241453063,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8140,221.0579,-331.2874,-0.0024,0.0163
1784876588257334839,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8140,221.0579,-331.2874,-0.0024,0.0163
1784876588273392255,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8140,221.0579,-331.2874,-0.0024,0.0163
1784876588289431858,3,move_to,smooth_s_curve,98.7989,221.0638,-331.2850,98.8139,221.0576,-331.2880,-0.0030,0.0163
1784876588305383978,3,move_to,smooth_s_curve,98.8127,221.0554,-331.2856,98.8139,221.0576,-331.2880,-0.0024,0.0025
1784876588321445683,3,move_to,smooth_s_curve,98.7852,221.0027,-331.2458,98.8139,221.0576,-331.2880,-0.0422,0.0620
1784876588337417836,3,move_to,smooth_s_curve,98.7033,220.8457,-331.1274,98.8139,221.0576,-331.2880,-0.1606,0.2391
1784876588353409106,3,move_to,smooth_s_curve,98.5650,220.5804,-330.9271,98.8133,221.0565,-331.2862,-0.3591,0.5370
1784876588369393485,3,move_to,smooth_s_curve,98.3846,220.2343,-330.6652,98.8088,221.0464,-331.2695,-0.6043,0.9162
1784876588385623878,3,move_to,smooth_s_curve,98.1816,219.8447,-330.3697,98.7959,221.0191,-331.2302,-0.8605,1.3254
1784876588401441428,3,move_to,smooth_s_curve,97.9747,219.4475,-330.0675,98.7686,220.9617,-331.1494,-1.0819,1.7097
