t_ns,cycles,period_ms.min,period_ms.mean,period_ms.max,period_ms.p95,period_ms.p99,rpc_ms.mean,rpc_ms.max,total_ms.mean,total_ms.max,late,late_run_max,qf_events,qf_retries,qf_blocked_ms,rc.ok,rc.busy,rc.bad,rc.inval,rc.ign,rc.other,exc
1784876933742256496,400,3.03,6.27,19.22,12.65,14.21,2.45,5.26,6.18,14.6,110,2,108,108,1278.57,400,0,0,0,0,0,0
1784876936252230784,400,3.09,6.3,16.59,12.7,14.7,2.55,5.89,6.21,16.51,100,2,95,95,1162.07,400,0,0,0,0,0,0
1784876938759098114,400,3.19,6.27,14.99,13.11,14.8,2.68,5.36,6.19,14.91,101,3,86,86,1066.56,400,0,0,0,0,0,0
1784876941272667786,400,3.28,6.28,15.61,13.05,14.6,2.58,5.68,6.21,15.53,103,3,95,95,1158.39,400,0,0,0,0,0,0
1784876943780873766,400,2.84,6.27,15.79,12.51,13.61,2.5,5.32,6.2,15.69,110,2,103,103,1224.54,400,0,0,0,0,0,0
1784876946298250201,400,2.97,6.29,14,12.45,13.48,2.42,4.86,6.23,13.89,111,2,107,107,1269.42,400,0,0,0,0,0,0
1784876948804865436,400,2.91,6.25,15.93,12.78,14.16,2.47,5.91,6.2,15.87,101,1,100,100,1209.35,400,0,0,0,0,0,0
1784876951316192305,400,3.1,6.3,13.76,11.9,12.86,2.28,4.39,6.22,13.7,127,2,124,124,1415.62,400,0,0,0,0,0,0
1784876953827398324,400,2.76,6.28,15.55,12.31,13.25,2.37,4.73,6.21,15.47,117,2,113,113,1320.94,400,0,0,0,0,0,0
1784876956340055341,400,3,6.28,13.13,11.94,12.37,2.25,3.74,6.22,13.05,125,1,125,125,1430.86,400,0,0,0,0,0,0
1784876958848328137,400,2.89,6.27,13.15,11.92,12.42,2.26,4.58,6.21,13.09,123,1,123,123,1411.96,400,0,0,0,0,0,0
1784876961364868556,400,3.02,6.27,12.97,12,12.49,2.27,3.63,6.23,12.91,122,1,123,123,1414.43,400,0,0,0,0,0,0
1784876963866480558,400,2.73,6.27,13.21,11.99,12.27,2.23,4.49,6.2,13.15,125,1,124,124,1426.82,400,0,0,0,0,0,0
1784876966385311867,400,2.79,6.3,13.19,11.87,12.76,2.27,4.17,6.24,13.13,124,1,124,124,1424.65,400,0,0,0,0,0,0
1784876968891708943,400,2.74,6.27,14.44,12.05,12.4,2.27,4.13,6.21,14.38,120,1,120,120,1389.56,400,0,0,0,0,0,0
1784876971402195649,400,2.8,6.28,12.82,11.93,12.46,2.24,3.57,6.22,12.75,123,1,123,123,1417.5,400,0,0,0,0,0,0
1784876973916134672,400,3.05,6.27,13.46,12,12.95,2.3,4.54,6.22,13.4,118,1,119,119,1383.43,400,0,0,0,0,0,0
1784876976427804125,400,2.8,6.3,13.46,12.04,12.78,2.28,4.15,6.22,13.4,124,1,123,123,1419.54,400,0,0,0,0,0,0
