t_ns,command_index,command_type,label,ref_canvas_x_mm,ref_canvas_y_mm,ref_canvas_z_mm,act_canvas_x_mm,act_canvas_y_mm,act_canvas_z_mm,normal_err_mm,tangential_err_mm
1784877077831313155,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877077849756385,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877077869196993,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877077888808498,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877077908686400,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877077927049082,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877077945999734,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877077963865866,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877077983375829,3,move_to,smooth_s_curve,130.0441,244.9759,-19.9975,130.0877,244.9515,-19.9953,0.0022,0.0500
1784877078003704328,3,move_to,smooth_s_curve,130.0788,244.9321,-19.9961,130.0877,244.9515,-19.9953,0.0008,0.0213
1784877078022342140,3,move_to,smooth_s_curve,130.0163,244.7953,-20.0017,130.0877,244.9514,-19.9953,0.0065,0.1717
1784877078041371546,3,move_to,smooth_s_curve,129.8787,244.4946,-20.0141,130.0882,244.9513,-19.9953,0.0189,0.5025
1784877078059851853,3,move_to,smooth_s_curve,129.6897,244.0814,-20.0311,130.0879,244.9436,-19.9999,0.0312,0.9496
1784877078078641727,3,move_to,smooth_s_curve,129.4700,243.6016,-20.0508,130.0718,244.8914,-20.0256,0.0252,1.4233
1784877078093853142,3,move_to,smooth_s_curve,129.2884,243.2053,-20.0670,130.0320,244.7692,-20.0727,-0.0058,1.7317
1784877078108388816,3,move_to,smooth_s_curve,129.1148,242.8267,-20.0824,129.9720,244.5842,-20.1189,-0.0365,1.9555
1784877078123529876,3,move_to,smooth_s_curve,128.9341,242.4328,-20.0983,129.8971,244.3601,-20.1495,-0.0512,2.1545
1784877078134079824,3,move_to,smooth_s_curve,128.8072,242.1564,-20.1095,129.8396,244.1896,-20.1648,-0.0553,2.2803
1784877078153937784,3,move_to,smooth_s_curve,128.5705,241.6413,-20.1303,129.6945,243.7726,-20.2091,-0.0788,2.4095
1784877078165648158,3,move_to,smooth_s_curve,128.4302,241.3361,-20.1426,129.6127,243.5483,-20.2256,-0.0831,2.5084
1784877078177505555,3,move_to,smooth_s_curve,128.2889,241.0287,-20.1549,129.4781,243.2095,-20.2418,-0.0869,2.4840
1784877078188549999,3,move_to,smooth_s_curve,128.1564,240.7409,-20.1664,129.3758,242.9724,-20.2482,-0.0818,2.5429
1784877078200296828,3,move_to,smooth_s_curve,128.0159,240.4357,-20.1786,129.2593,242.7261,-20.2572,-0.0786,2.6062
1784877078212448470,3,move_to,smooth_s_curve,127.8724,240.1240,-20.1910,129.0920,242.3862,-20.2504,-0.0594,2.5700
1784877078223394451,3,move_to,smooth_s_curve,127.7392,239.8351,-20.2024,128.9958,242.1978,-20.2343,-0.0319,2.6760
1784877078233958278,3,move_to,smooth_s_curve,127.6120,239.5591,-20.2133,128.9078,242.0287,-20.2173,-0.0040,2.7890
1784877078252707167,3,move_to,smooth_s_curve,127.3887,239.0751,-20.2324,128.7239,241.6618,-20.2139,0.0186,2.9110
1784877078268496240,3,move_to,smooth_s_curve,127.1998,238.6660,-20.2485,128.5650,241.3181,-20.2395,0.0091,2.9828
1784877078279691855,3,move_to,smooth_s_curve,127.0654,238.3750,-20.2599,128.4430,241.0436,-20.2629,-0.0030,3.0032
1784877078298353615,3,move_to,smooth_s_curve,126.8420,237.8918,-20.2788,128.1512,240.3959,-20.3282,-0.0494,2.8257
1784877078317293518,3,move_to,smooth_s_curve,126.6147,237.4004,-20.2979,127.8565,239.7600,-20.3518,-0.0539,2.6664
1784877078331134404,3,move_to,smooth_s_curve,126.4491,237.0426,-20.3118,127.7191,239.4691,-20.3493,-0.0375,2.7387
1784877078350325102,3,move_to,smooth_s_curve,126.2204,236.5489,-20.3308,127.4383,238.8711,-20.3723,-0.0415,2.6222
1784877078369711082,3,move_to,smooth_s_curve,125.9869,236.0453,-20.3502,127.1617,238.2648,-20.4134,-0.0633,2.5112
1784877078389175373,3,move_to,smooth_s_curve,125.7521,235.5393,-20.3695,126.8998,237.7059,-20.4231,-0.0536,2.4518
1784877078408628000,3,move_to,smooth_s_curve,125.5198,235.0391,-20.3886,126.6496,237.1770,-20.4284,-0.0398,2.4181
1784877078420344507,3,move_to,smooth_s_curve,125.3803,234.7390,-20.3999,126.5289,236.9199,-20.4332,-0.0333,2.4648
1784877078431925154,3,move_to,smooth_s_curve,125.2409,234.4392,-20.4113,126.4102,236.6673,-20.4372,-0.0259,2.5163
1784877078443680811,3,move_to,smooth_s_curve,125.1003,234.1369,-20.4227,126.2300,236.2864,-20.4506,-0.0279,2.4283
1784877078454792433,3,move_to,smooth_s_curve,124.9662,233.8489,-20.4335,126.1135,236.0437,-20.4565,-0.0229,2.4765
1784877078474292889,3,move_to,smooth_s_curve,124.7326,233.3471,-20.4524,125.9152,235.6333,-20.4433,0.0091,2.5740
1784877078485684387,3,move_to,smooth_s_curve,124.5956,233.0532,-20.4633,125.8335,235.4697,-20.4337,0.0297,2.7151
1784877078497028177,3,move_to,smooth_s_curve,124.4585,232.7592,-20.4743,125.7509,235.3034,-20.4229,0.0514,2.8536
1784877078508873659,3,move_to,smooth_s_curve,124.3169,232.4557,-20.4856,125.6001,234.9835,-20.4355,0.0500,2.8348
1784877078520074105,3,move_to,smooth_s_curve,124.1818,232.1662,-20.4963,125.4818,234.7221,-20.4641,0.0322,2.8675
1784877078531503971,3,move_to,smooth_s_curve,124.0434,231.8697,-20.5073,125.3568,234.4422,-20.4969,0.0103,2.8884
1784877078550615648,3,move_to,smooth_s_curve,123.8146,231.3801,-20.5253,125.1156,233.9225,-20.5268,-0.0016,2.8560
